developer,price,year
Kotoshiro,4.99,2018
Secret Level Srl,0.0,2018
Poolians.Com,0.0,2017
彼岸领域,0.99,2017
Trickjump Games Ltd,3.99,2018
Poppermost Productions,9.99,2018
Poppermost Productions,18.99,2018
Poppermost Productions,29.99,2018
Stegalosaurus Game Development,10.99,2018
Copperpick Studio,3.99,2018
Ghulam Jewel,2.99,2018
Apillo,1.59,2018
Poppermost Productions,14.99,2018
Apillo,1.99,2018
Poppermost Productions,59.99,2018
Tero Lunkka,0.99,2018
Frozenpepper,2.99,2017
Frozenpepper,2.99,2017
Casey Labrack,4.99,2018
Stainless Games Ltd,9.99,1997
Valve,9.99,1998
Dev4Play,1.99,2016
Etggames,0.99,2018
The Commander,8.99,2018
"Lalalazero,Urbanoff",0.99,2018
Strategy First,6.99,2006
Strategy First,6.99,2006
Outerlight Ltd.,9.99,2006
Ultraint,7.99,2017
Tpm.Co Soft Works,10.99,2017
Wonderbox Games,9.99,2017
Wonderbox Games,9.99,2017
Mad Unicorn Games,1.99,2017
Emanon Studios,0.99,2017
Glyphx Games,9.99,2005
Introversion Software,9.99,2006
Outerlight Ltd.,9.99,2006
Facepunch Studios,9.99,2006
Simbin,39.99,2006
Unknown Worlds Entertainment,0.0,2006
"Cinemax, S.R.O.",4.99,2006
Sick Puppies,4.99,2003
Deepred,4.99,2006
Funcom,19.99,2006
Bugbear Entertainment,9.99,2006
Bugbear Entertainment,7.49,2005
"Capcom Co., Ltd.",14.99,2007
"Firefly Studios,Firaxis Games",9.99,2006
Arkane Studios,4.99,2002
Funcom,9.99,2000
Firaxis Games,4.99,2006
Poptop,9.99,2003
"Firaxis Games,Feral Interactive (Mac)",9.99,2006
Poptop,4.99,1998
Elephant Games,4.99,2007
"Microprose Software, Inc",4.99,1995
"Crystal Dynamics,Feral Interactive (Mac)",8.99,2007
"Capcom Co., Ltd.",19.99,2006
Telltale Games,19.99,2006
Id Software,4.99,1996
Telltale Games,19.99,2006
Id Software,4.99,1995
Id Software,14.99,1995
Id Software,4.99,1994
Id Software,4.99,1994
Gray Matter Studios,4.99,2001
Ritual Entertainment,2.99,1997
Id Software,2.99,1993
Terminal Reality,9.99,2003
Rogue Entertainment,2.99,2007
Id Software,4.99,2007
Metamorf,4.99,2007
Relic Entertainment,12.99,2006
"2K Boston,2K Australia",19.99,2007
Relic Entertainment,12.99,2006
