id_genres,name,playtime_forever,ranking
1,action,3074865964,1
3,indie,1475383715,2
7,rpg,1027849083,3
9,adventure,898675144,4
4,simulation,855261582,5
5,strategy,650991704,6
6,free to play,603563359,7
12,massively multiplayer,441038278,8
2,casual,249315170,9
11,early access,156682370,10
8,sports,64912685,11
10,racing,62982260,12
15,utilities,4677356,13
19,design &amp; illustration,4075534,14
16,web publishing,2760751,15
14,video production,2387840,16
13,animation &amp; modeling,1994171,17
18,software training,559988,18
20,audio production,545201,19
17,education,412955,20
21,photo editing,114502,21
22,accounting,0,22
