item_id,genres
761140,action
761140,casual
761140,indie
761140,simulation
761140,strategy
643980,free to play
643980,indie
643980,rpg
643980,strategy
670290,casual
670290,free to play
670290,indie
670290,simulation
670290,sports
767400,action
767400,adventure
767400,casual
772540,action
772540,adventure
772540,simulation
774276,free to play
774276,indie
774276,simulation
774276,sports
774277,free to play
774277,indie
774277,simulation
774277,sports
774278,free to play
774278,indie
774278,simulation
774278,sports
768800,casual
768800,indie
768800,racing
768800,simulation
768570,action
768570,indie
768570,simulation
768570,early access
770380,action
770380,adventure
770380,casual
770380,indie
770380,rpg
768880,casual
768880,indie
765320,casual
765320,indie
765320,simulation
773650,adventure
773650,casual
773650,indie
773650,simulation
773650,strategy
774271,free to play
774271,indie
774271,simulation
774271,sports
773690,adventure
773690,casual
773690,indie
773690,simulation
773690,strategy
774279,free to play
774279,indie
774279,simulation
774279,sports
768060,action
768060,adventure
768060,indie
775880,racing
775880,simulation
775880,sports
775881,racing
775881,simulation
775881,sports
653960,action
653960,indie
282010,action
282010,indie
282010,racing
70,action
752360,action
752360,indie
752360,rpg
520680,casual
520680,indie
520680,strategy
690410,action
766850,casual
766850,indie
766850,simulation
413120,action
413120,casual
413120,indie
413120,massively multiplayer
413120,simulation
413120,sports
413120,strategy
773120,adventure
773120,casual
773120,indie
754360,action
754360,adventure
754360,rpg
716110,adventure
716110,casual
716110,indie
716110,rpg
1640,strategy
1630,strategy
2400,action
2400,indie
2400,rpg
662570,strategy
381620,indie
381620,massively multiplayer
381620,rpg
381620,early access
714020,adventure
714020,free to play
714020,rpg
714020,early access
759920,action
759920,indie
759920,strategy
759920,early access
659780,action
659780,adventure
659780,indie
659780,rpg
659780,strategy
603280,action
603280,adventure
603280,indie
603280,rpg
753110,casual
753110,strategy
753110,early access
753100,action
753100,indie
764280,action
764280,adventure
764280,casual
758550,adventure
758550,casual
758550,free to play
758550,indie
3800,action
1520,indie
1520,strategy
2420,action
2420,indie
2420,rpg
4000,indie
4000,simulation
4230,racing
4900,casual
4900,indie
2520,casual
2520,indie
6200,strategy
6210,strategy
6300,adventure
6300,rpg
2990,racing
6220,racing
6510,action
6510,adventure
3980,strategy
1700,rpg
6310,action
6310,adventure
6310,rpg
3990,strategy
7610,strategy
7600,strategy
7620,strategy
2540,casual
2540,indie
7650,strategy
8000,action
8000,adventure
6550,action
8200,action
8200,adventure
2290,action
2570,indie
2570,rpg
8210,action
8210,adventure
2280,action
9160,action
2300,action
2270,action
9010,action
9040,action
9000,action
3810,action
9030,action
2310,action
3230,strategy
9310,strategy
7670,action
7670,rpg
4570,strategy
4580,strategy
4760,strategy
4770,strategy
50970,casual
12170,action
12180,action
12130,action
12160,racing
12150,action
7000,action
7000,adventure
12140,action
17480,strategy
12500,casual
12310,rpg
12310,casual
12310,adventure
12510,strategy
12530,action
12530,adventure
12530,strategy
12520,racing
8100,action
2780,action
9730,simulation
9710,action
9800,action
9800,adventure
9760,action
2700,simulation
2700,strategy
2710,action
13200,action
13250,action
13000,casual
13000,indie
13560,action
13520,action
13240,action
13540,action
15210,simulation
16180,casual
16180,simulation
3520,casual
15970,casual
15950,casual
15960,casual
15900,casual
15910,casual
15930,casual
15160,simulation
15920,casual
15080,action
15080,adventure
15200,simulation
15320,simulation
15240,simulation
8310,adventure
12600,racing
8320,adventure
12590,racing
12560,simulation
12540,casual
11050,adventure
10520,sports
11040,adventure
11040,rpg
19500,adventure
19500,indie
11260,simulation
11260,strategy
19200,action
19200,indie
12360,racing
15710,adventure
15700,adventure
8660,racing
7770,strategy
7660,strategy
7760,strategy
20510,action
20510,rpg
17330,action
17300,action
7730,strategy
20900,action
20900,rpg
1530,indie
8690,racing
17120,strategy
17120,simulation
16810,strategy
19830,action
21000,action
21000,adventure
4460,simulation
4460,strategy
17140,rpg
17140,strategy
15390,action
21300,indie
21300,casual
3050,racing
15380,strategy
19800,action
15370,strategy
19930,strategy
15350,casual
19810,action
3540,casual
22000,indie
2820,action
2820,simulation
2820,strategy
1230,action
18300,casual
18300,indie
20200,indie
20200,casual
20200,sports
12200,action
12200,adventure
19900,action
11240,action
11240,indie
11240,strategy
256522,simulation
275144,simulation
256521,simulation
222569,simulation
256535,simulation
256611,simulation
256576,simulation
9480,action
17470,action
12770,rpg
17410,action
17410,adventure
18500,indie
18500,strategy
16450,action
15400,strategy
15400,indie
18600,indie
18600,strategy
11340,action
11340,indie
25830,strategy
23460,action
23460,adventure
23460,strategy
10600,strategy
21010,action
22180,action
22180,adventure
22180,indie
13210,action
12640,rpg
21600,casual
21600,strategy
27020,indie
27020,simulation
24740,racing
90047,action
26000,action
26000,indie
26006,action
26006,indie
26005,action
26005,indie
11330,casual
11330,indie
27800,indie
9850,simulation
9850,strategy
3600,casual
29580,rpg
29580,massively multiplayer
29540,rpg
29540,massively multiplayer
29560,rpg
29560,massively multiplayer
29570,massively multiplayer
29570,rpg
23700,casual
16060,casual
1930,rpg
18470,strategy
7510,action
7510,adventure
7510,rpg
22200,action
22200,indie
26007,indie
