item_id,title,url,release_date,developer,price
761140,Lost Summoner Kitty,http://store.steampowered.com/app/761140/Lost_Summoner_Kitty/,2018-01-04,Kotoshiro,4.99
643980,Ironbound,http://store.steampowered.com/app/643980/Ironbound/,2018-01-04,Secret Level SRL,0.0
670290,Real Pool 3D - Poolians,http://store.steampowered.com/app/670290/Real_Pool_3D__Poolians/,2017-07-24,Poolians.com,0.0
767400,弹炸人2222,http://store.steampowered.com/app/767400/2222/,2017-12-07,彼岸领域,0.99
773570,,http://store.steampowered.com/app/773570/Log_Challenge/,,,2.99
772540,Battle Royale Trainer,http://store.steampowered.com/app/772540/Battle_Royale_Trainer/,2018-01-04,Trickjump Games Ltd,3.99
774276,SNOW - All Access Basic Pass,http://store.steampowered.com/app/774276/SNOW__All_Access_Basic_Pass/,2018-01-04,Poppermost Productions,9.99
774277,SNOW - All Access Pro Pass,http://store.steampowered.com/app/774277/SNOW__All_Access_Pro_Pass/,2018-01-04,Poppermost Productions,18.99
774278,SNOW - All Access Legend Pass,http://store.steampowered.com/app/774278/SNOW__All_Access_Legend_Pass/,2018-01-04,Poppermost Productions,29.99
724910,,http://store.steampowered.com/app/724910/Icarus_Six_Sixty_Six/,,,0.0
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,http://store.steampowered.com/app/770380/Army_of_Tentacles_Not_A_Cthulhu_Dating_Sim_Black_GOAT_of_the_Woods_Edition/,2018-01-04,Stegalosaurus Game Development,10.99
768880,Beach Rules,http://store.steampowered.com/app/768880/Beach_Rules/,2018-01-04,Copperpick Studio,3.99
765320,Planetarium 2 - Zen Odyssey,http://store.steampowered.com/app/765320/Planetarium_2__Zen_Odyssey/,2018-01-03,Ghulam Jewel,2.99
773650,The first thrust of God,http://store.steampowered.com/app/773650/The_first_thrust_of_God/,2018-01-03,Apillo,1.59
774271,SNOW - Starter Pack,http://store.steampowered.com/app/774271/SNOW__Starter_Pack/,2018-01-03,Poppermost Productions,14.99
773690,The first thrust of God - All Aircrafts,http://store.steampowered.com/app/773690/The_first_thrust_of_God__All_Aircrafts/,2018-01-03,Apillo,1.99
774279,SNOW - Lifetime Pack,http://store.steampowered.com/app/774279/SNOW__Lifetime_Pack/,2018-01-03,Poppermost Productions,59.99
772590,,http://store.steampowered.com/app/772590/After_Life_VR/,,,4.99
640250,,http://store.steampowered.com/app/640250/Kitty_Hawk/,,,2.99
768060,The Warrior Of Treasures,http://store.steampowered.com/app/768060/The_Warrior_Of_Treasures/,2018-01-03,Tero Lunkka,0.99
711440,,http://store.steampowered.com/app/711440/Mortars_VR/,,,0.99
