item_id,title,url,release_date,developer,price
768800,Race,http://store.steampowered.com/app/768800/Race/,2018-01-04,RewindApp,
768570,Uncanny Islands,http://store.steampowered.com/app/768570/Uncanny_Islands/,Soon..,Qucheza,
520680,Lost Cities,http://store.steampowered.com/app/520680/Lost_Cities/,2018-01-01,BlueLine Games,
690410,Twisted Enhanced Edition,http://store.steampowered.com/app/690410/Twisted_Enhanced_Edition/,2018-01-01,Games by Brundle,
413120,Tactics Forever,http://store.steampowered.com/app/413120/Tactics_Forever/,2018-01-01,ProjectorGames,
773120,Christmas Santa Troubles,http://store.steampowered.com/app/773120/Christmas_Santa_Troubles/,2017-12-30,Unknown Indie Devs,
680970,,http://store.steampowered.com/app/680970/Kingdom_Watcher/,,,
662570,United Tactics,http://store.steampowered.com/app/662570/United_Tactics/,,Zachary M Thomas,
381620,Life of Rome,http://store.steampowered.com/app/381620/Life_of_Rome/,2017,Breakout Studio,
714020,Idle Adventure,http://store.steampowered.com/app/714020/Idle_Adventure/,Beta测试已开启,"zha7,Phaedruns,Yingke Wu",
541930,,http://store.steampowered.com/app/541930/Panoptic/,,,
659780,Darkness and a Crowd,http://store.steampowered.com/app/659780/Darkness_and_a_Crowd/,2018-03-30,Seth Albertus,
374970,,http://store.steampowered.com/app/374970/Golf_Masters/,,,
2570,Vigil: Blood Bitterness™,http://store.steampowered.com/app/2570/Vigil_Blood_Bitterness/,2007-06-29,Freegamer,
12170,Grand Theft Auto,http://store.steampowered.com/app/12170/Grand_Theft_Auto/,1998-06-30,Rockstar North,
12180,Grand Theft Auto 2,http://store.steampowered.com/app/12180/Grand_Theft_Auto_2/,1999-10-25,Rockstar North,
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,http://store.steampowered.com/app/10520/Beijing_2008__The_Official_Video_Game_of_the_Olympic_Games/,2008-07-08,Eurocom,
21600,Age of Booty™,http://store.steampowered.com/app/21600/Age_of_Booty/,2009-03-09,Certain Affinity™,
90047,Zombie Master,http://store.steampowered.com/app/90047/Zombie_Master/,2009-03-11,Zombie Master Team,
31990,Nancy Drew®: Ransom of the Seven Ships Demo,http://store.steampowered.com/app/31990/Nancy_Drew_Ransom_of_the_Seven_Ships_Demo/,2009-07-21,Her Interactive,
35050,Mini Ninjas Demo,http://store.steampowered.com/app/35050/Mini_Ninjas_Demo/,2009-08-19,IO Interactive,
34180,Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,http://store.steampowered.com/app/34180/Vancouver_2010__The_Official_Video_Game_of_the_Olympic_Winter_Games/,2010-02-18,Eurocom,
31700,Iron Grip: Warlord,http://store.steampowered.com/app/31700/Iron_Grip_Warlord/,2008-12-05,ISOTX,
50820,Max and the Magic Marker,http://store.steampowered.com/app/50820/Max_and_the_Magic_Marker/,2010-05-12,Press Play,
27930,Booster Trooper Demo,http://store.steampowered.com/app/27930/Booster_Trooper_Demo/,2010-08-31,DnS Development,
901553,Serious Sam HD: Gold Edition,http://store.steampowered.com/app/901553/Serious_Sam_HD_Gold_Edition/,2010-09-23,Croteam,
99200,YOU DON’T KNOW JACK®,http://store.steampowered.com/app/99200/YOU_DONT_KNOW_JACK/,2011-02-08,Jellyvision,
63950,IL-2 Sturmovik: Cliffs of Dover,http://store.steampowered.com/app/63950/IL2_Sturmovik_Cliffs_of_Dover/,2011-07-19,1C: Maddox Games,
55370,Saints Row: The Third Initiation Station,http://store.steampowered.com/app/55370/Saints_Row_The_Third_Initiation_Station/,2011-11-01,Volition,
202523,Dungeon Defenders Capture the Flag Pre-Alpha Pass (Free DLC),http://store.steampowered.com/app/202523/Dungeon_Defenders_Capture_the_Flag_PreAlpha_Pass_Free_DLC/,2011-11-11,Trendy Entertainment,
200880,Batman Arkham City: Nightwing Bundle,http://store.steampowered.com/app/200880/Batman_Arkham_City_Nightwing_Bundle/,2011-12-01,Rocksteady Studios,
200870,Batman Arkham City: Robin Bundle,http://store.steampowered.com/app/200870/Batman_Arkham_City_Robin_Bundle/,2011-12-01,Rocksteady Studios,
91616,Sanctum: X-Mas Carnage (Free DLC),http://store.steampowered.com/app/91616/Sanctum_XMas_Carnage_Free_DLC/,2011-12-15,Coffee Stain Studios,
204010,Satazius Demo,http://store.steampowered.com/app/204010/Satazius_Demo/,2011-12-16,ASTRO PORT,
111403,Bunch of Heroes: Holiday Pack (Free DLC),http://store.steampowered.com/app/111403/Bunch_of_Heroes_Holiday_Pack_Free_DLC/,2011-12-19,NGD Studios,
200890,Batman Arkham City: Challenge Map Pack,http://store.steampowered.com/app/200890/Batman_Arkham_City_Challenge_Map_Pack/,2011-12-21,Rocksteady Studios,
200860,Batman Arkham City: Arkham City Skins Pack,http://store.steampowered.com/app/200860/Batman_Arkham_City_Arkham_City_Skins_Pack/,2011-12-21,Rocksteady Studios,
45773,Dead Rising 2: Off the Record BBQ Chef Skills Pack,http://store.steampowered.com/app/45773/Dead_Rising_2_Off_the_Record_BBQ_Chef_Skills_Pack/,2012-02-06,Capcom Vancouver,
45774,Dead Rising 2: Off the Record COSPLAY Skills Pack,http://store.steampowered.com/app/45774/Dead_Rising_2_Off_the_Record_COSPLAY_Skills_Pack/,2012-02-06,Capcom Vancouver,
205120,Choplifter HD - Zombie Zombie Zombie,http://store.steampowered.com/app/205120/Choplifter_HD__Zombie_Zombie_Zombie/,2012-02-14,inXile Entertainment,
91609,Sanctum: Yogscave (Free DLC),http://store.steampowered.com/app/91609/Sanctum_Yogscave_Free_DLC/,2012-05-03,Coffee Stain Studios,
98821,Dungeons of Dredmor: You Have To Name The Expansion Pack,http://store.steampowered.com/app/98821/Dungeons_of_Dredmor_You_Have_To_Name_The_Expansion_Pack/,2012-06-05,"Gaslamp Games, Inc.",
1840,Source Filmmaker,http://store.steampowered.com/app/1840/Source_Filmmaker/,2012-07-10,Valve,
98421,Hard Reset: Exile DLC,http://store.steampowered.com/app/98421/Hard_Reset_Exile_DLC/,2012-07-11,Flying Wild Hog,
202181,Sleeping Dogs - High Resolution Texture Pack,http://store.steampowered.com/app/202181/Sleeping_Dogs__High_Resolution_Texture_Pack/,2012-08-13,United Front Games,
58648,"Wargame: European Escalation - ""Commander"" (Free DLC)",http://store.steampowered.com/app/58648/Wargame_European_Escalation__Commander_Free_DLC/,2012-09-25,Eugen Systems,
215120,ROSE Online,http://store.steampowered.com/app/215120/ROSE_Online/,2012-10-23,Gravity Interactive,
216330,Sleeping Dogs: Ghost Pig,http://store.steampowered.com/app/216330/Sleeping_Dogs_Ghost_Pig/,2012-11-02,United Front Games,
207660,A Virus Named TOM: Winter Wonderland,http://store.steampowered.com/app/207660/A_Virus_Named_TOM_Winter_Wonderland/,2012-12-19,Misfits Attic,
235920,X3: Reunion Bonus Package,http://store.steampowered.com/app/235920/X3_Reunion_Bonus_Package/,2013-05-07,Egosoft,
245660,"Wargame: AirLand Battle - ""Vox Populi"" (Free DLC)",http://store.steampowered.com/app/245660/Wargame_AirLand_Battle__Vox_Populi_Free_DLC/,2013-07-31,Eugen Systems,
94304,The Dream Machine: Chapter 4,http://store.steampowered.com/app/94304/The_Dream_Machine_Chapter_4/,2013-08-05,Cockroach Inc.,
242590,Saints Row IV: Inauguration Station,http://store.steampowered.com/app/242590/Saints_Row_IV_Inauguration_Station/,2013-08-06,,
246340,Protocell,http://store.steampowered.com/app/246340/Protocell/,2013-08-28,,
246640,TorqueL prototype,http://store.steampowered.com/app/246640/TorqueL_prototype/,2013-06-12,FullPowerSideAttack.com,
203290,America's Army: Proving Grounds,http://store.steampowered.com/app/203290/Americas_Army_Proving_Grounds/,2015-10-01,U.S. Army,
221169,GRID 2 - Demolition Derby Pack,http://store.steampowered.com/app/221169/GRID_2__Demolition_Derby_Pack/,2013-09-03,"Codemasters Racing,Feral Interactive (Mac)",
247120,Portal 2 Sixense Perceptual Pack,http://store.steampowered.com/app/247120/Portal_2_Sixense_Perceptual_Pack/,2013-09-20,,
257140,Aarklash: Legacy Demo,http://store.steampowered.com/app/257140/Aarklash_Legacy_Demo/,2013-10-16,,
267660,Finding Teddy Soundtrack,http://store.steampowered.com/app/267660/Finding_Teddy_Soundtrack/,2013-12-03,,
268100,Call of Duty®: Ghosts - Festive Personalization Pack,http://store.steampowered.com/app/268100/Call_of_Duty_Ghosts__Festive_Personalization_Pack/,2013-12-12,Infinity Ward,
271110,PAYDAY 2: The Charlie Santa Heist,http://store.steampowered.com/app/271110/PAYDAY_2_The_Charlie_Santa_Heist/,2013-12-16,OVERKILL - a Starbreeze Studio.,
268560,Alan Wake Bonus Materials,http://store.steampowered.com/app/268560/Alan_Wake_Bonus_Materials/,2013-12-17,Remedy Entertainment,
267381,PAYDAY 2: A Merry Payday Christmas Soundtrack,http://store.steampowered.com/app/267381/PAYDAY_2_A_Merry_Payday_Christmas_Soundtrack/,2013-12-19,OVERKILL - a Starbreeze Studio.,
241373,Europa Universalis IV: Songs of Yuletide,http://store.steampowered.com/app/241373/Europa_Universalis_IV_Songs_of_Yuletide/,2013-12-20,Paradox Development Studio,
226671,Crusader Kings II: Songs of Yuletide,http://store.steampowered.com/app/226671/Crusader_Kings_II_Songs_of_Yuletide/,2013-12-20,Paradox Development Studio,
267130,Star Swarm Stress Test,http://store.steampowered.com/app/267130/Star_Swarm_Stress_Test/,2014-01-30,Oxide Games,
272060,Serena,http://store.steampowered.com/app/272060/Serena/,2014-01-30,Senscape,
