item_id,genres,title,texto
10,action,Counter-Strike,action Counter-Strike
20,action,Team Fortress Classic,action Team Fortress Classic
30,action,Day Of Defeat,action Day of Defeat
40,action,Deathmatch Classic,action Deathmatch Classic
50,action,Half-Life: Opposing Force,action Half-Life: Opposing Force
60,action,Ricochet,action Ricochet
70,action,Half-Life,action Half-Life
80,action,Counter-Strike: Condition Zero,action Counter-Strike: Condition Zero
130,action,Half-Life: Blue Shift,action Half-Life: Blue Shift
220,action,Half-Life 2,action Half-Life 2
240,action,Counter-Strike: Source,action Counter-Strike: Source
280,action,Half-Life: Source,action Half-Life: Source
300,action,Day Of Defeat: Source,action Day of Defeat: Source
320,action,Half-Life 2: Deathmatch,action Half-Life 2: Deathmatch
360,action,Half-Life Deathmatch: Source,action Half-Life Deathmatch: Source
380,action,Half-Life 2: Episode One,action Half-Life 2: Episode One
400,action,Portal,action Portal
420,action,Half-Life 2: Episode Two,action Half-Life 2: Episode Two
440,"action, free to play",Team Fortress 2,"action, free to play Team Fortress 2"
500,action,Left 4 Dead,action Left 4 Dead
550,action,Left 4 Dead 2,action Left 4 Dead 2
620,"action, adventure",Portal 2,"action, adventure Portal 2"
630,action,Alien Swarm,action Alien Swarm
730,action,Counter-Strike: Global Offensive,action Counter-Strike: Global Offensive
1200,action,Red Orchestra: Ostfront 41-45,action Red Orchestra: Ostfront 41-45
1250,action,Killing Floor,action Killing Floor
1510,"indie, strategy",Uplink,"indie, strategy Uplink"
1520,"indie, strategy",Defcon,"indie, strategy DEFCON"
1930,rpg,Two Worlds Epic Edition,rpg Two Worlds Epic Edition
2100,"action, rpg",Dark Messiah Of Might &Amp; Magic,"action, rpg Dark Messiah of Might &amp; Magic"
2200,action,Quake Iii Arena,action Quake III Arena
2270,action,Wolfenstein 3D,action Wolfenstein 3D
2280,action,Ultimate Doom,action Ultimate Doom
2300,action,Doom Ii,action DOOM II
2310,action,Quake,action QUAKE
2400,"action, indie, rpg",The Ship: Murder Party,"action, indie, rpg The Ship: Murder Party"
2420,"action, indie, rpg",The Ship: Single Player,"action, indie, rpg The Ship: Single Player"
2450,action,Bloody Good Time,action Bloody Good Time
2500,action,Shadowgrounds,action Shadowgrounds
2590,action,Alpha Prime,action Alpha Prime
